Country,Year,GFCF,Defense,Education,Health,GDP_Growth,Def_Dum
Bulgaria,2000,19.04614349,2.652455762,4.2,3.8,4.587225414,0
Bulgaria,2001,21.35107179,2.862519544,3.6,4,3.823703646,0
Bulgaria,2002,20.52902088,2.779676555,3.7,4.8,5.871931081,0
Bulgaria,2003,22.07417339,2.691201472,4.2,5.5,5.23715365,0
Bulgaria,2004,23.43335211,2.373711682,4,5.8,6.510425784,0
Bulgaria,2005,27.73967166,2.235350267,4.1,4.9,7.056348735,0
Bulgaria,2006,32.05633531,2.081761908,3.6,3.8,6.802589436,0
Bulgaria,2007,33.60623366,2.228539901,3.6,4,6.654387924,0
Bulgaria,2008,36.92453897,2.131863983,3.9,4.4,6.129558416,0
Bulgaria,2009,28.53822071,1.739511501,4.1,4,-3.347141497,0
Bulgaria,2010,22.51796856,1.642461524,3.6,4.4,1.555359799,0
Bulgaria,2011,21.35818296,1.314000256,3.3,4.1,2.090175078,0
Bulgaria,2012,21.88708499,1.329818965,3.3,4.4,0.748815412,0
Bulgaria,2013,21.0060109,1.454042831,3.7,4.5,-0.542751389,0
Bulgaria,2014,21.50783394,1.309602232,4.1,5.5,0.949449091,1
Bulgaria,2015,20.9999296,1.245933607,3.9,5.3,3.397553368,1
Bulgaria,2016,18.96243249,1.243845808,3.4,5,3.026628412,1
Bulgaria,2017,19.81699847,1.222208548,3.5,4.9,2.745926761,1
Bulgaria,2018,21.16615726,1.451062124,3.5,5,2.330152134,1
Bulgaria,2019,20.73400318,3.144950729,3.8,4.6,3.793317654,1
Bulgaria,2020,20.1519208,1.585618271,3.9,5.8,-3.133233031,1
Bulgaria,2021,20.70589194,1.51072371,4.3,5.8,7.828172328,1
Bulgaria,2022,22.68758546,1.587075004,3.9,5.6,4.083864092,1
Bulgaria,2023,19.78775263,1.944583107,4.1,5.5,1.68151075,1
Estonia,2000,28.47610321,1.376132321,6.4,4.5,10.08763858,0
Estonia,2001,29.60263209,1.500976994,6.3,4.3,5.880745895,0
Estonia,2002,32.93076575,1.656260544,6.5,4.4,6.933000826,0
Estonia,2003,35.18803006,1.735509174,6.3,4.3,7.59630181,0
Estonia,2004,34.64885493,1.687182212,6.2,4.2,6.800701108,0
Estonia,2005,33.35083816,1.449771851,5.9,4.1,9.523053865,0
Estonia,2006,39.82568775,1.387333801,5.9,4.3,9.762571312,0
